WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;pas de lieu
WARNING;Artefact:FRB.FOBJ3.SCAL.1231;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2032;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2033;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1302;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1302;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1233;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1233;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1287;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1287;producteur est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1220;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1228;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1228;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1254;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1255;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1257;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1257;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1285;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2013;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.2013;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2046;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2000;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1311-02;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.1311-02;dimensions sont vides 
WARNING;artefact:FRB.FOBJ3.SCAL.1311-02;producteur est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.2040;l'année de production est vide
WARNING;artefact:FRB.FOBJ3.SCAL.2040;dimensions sont vides 
WARNING;Artefact:FRB.FOBJ3.SCAL.1235;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1138;l'année de production est vide
WARNING;Artefact:FRB.FOBJ3.SCAL.1137;l'année de production est vide
